"Name of the Institution","Program","Level","Accreditation Status","Accreditation Period"
"Sri Sivasubramaniya Nadar College of Engineering (Kancheepuram)","Biomedical Engineering","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17, 2017-18, 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021"
"Sri Sivasubramaniya Nadar College of Engineering (Kancheepuram)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17, 2017-18, 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021"
"Sri Sivasubramaniya Nadar College of Engineering (Kancheepuram)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17, 2017-18, 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021"
"Sri Sivasubramaniya Nadar College of Engineering (Kancheepuram)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17, 2017-18, 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021"
"Sri Sivasubramaniya Nadar College of Engineering (Kancheepuram)","Information Technology","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17, 2017-18, 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021"
"Sri Sivasubramaniya Nadar College of Engineering (Kancheepuram)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23, 2023-24, 2024-25, 2025-26 and 2026-27, i.e., upto 30-06-2027"
"Sri Sivasubramaniya Nadar College of Engineering (Kancheepuram)","Biomedical Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"Sri Sivasubramaniya Nadar College of Engineering (Kancheepuram)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"Sri Sivasubramaniya Nadar College of Engineering (Kancheepuram)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"Sri Sivasubramaniya Nadar College of Engineering (Kancheepuram)","Information Technology","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","CHEMICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 16-09-2011"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","AUTOMOBILE ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 16-09-2011"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","MECHANICAL ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 10-07-2009"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 10-07-2009"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 19-07-2008"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 19-07-2008"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","CHEMICAL TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 27-07-2006"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 27-07-2006"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","AUTOMOBILE ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 27-07-2006"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","MARINE ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 27-07-2006"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 12-09-2003"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","MECHANICAL ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 12-09-2003"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 24-04-2002"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 24-04-2002"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 24-04-2002"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","CHEMICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 24-04-2002"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 01-07-2014"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","BIOTECHNOLOGY","UG","ACCREDITED","2 YEARS W.E.F. 01-07-2014"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","Automobile Engineering","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17 and 2017-18, i.e., upto 30-06-2018; Further accredited for Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","Chemical Engineering","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17 and 2017-18, i.e., upto 30-06-2018; Further accredited for Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17 and 2017-18, i.e., upto 30-06-2018; Further accredited for Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17 and 2017-18, i.e., upto 30-06-2018; Further accredited for Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","Information Technology","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17 and 2017-18, i.e., upto 30-06-2018; Further accredited for Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2015-16, 2016-17 and 2017-18, i.e., upto 30-06-2018; Further accredited for Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","Biotechnology","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"SRI VENKATESWARA COLLEGE OF ENGG. (SRIPERUMBUDUR)","Civil Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e., upto 30-06-2024"
"SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUVALLUR)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.5-5-2009"
"SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUVALLUR)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.5-5-2009"
"SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY (TIRUVALLUR)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.5-5-2009"
"SRM Engineering College (a constituent unit of SRM Institute of Science and Technology - a Deemed to be  University) (CHENNAI)","MECHANICAL ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F.21-2-98"
"SRM Engineering College (a constituent unit of SRM Institute of Science and Technology - a Deemed to be  University) (CHENNAI)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.21-2-98"
"SRM Engineering College (a constituent unit of SRM Institute of Science and Technology - a Deemed to be  University) (CHENNAI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.21-2-98"
"SRM Engineering College (a constituent unit of SRM Institute of Science and Technology - a Deemed to be  University) (CHENNAI)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.1-4-2001"
"SRM Engineering College (a constituent unit of SRM Institute of Science and Technology - a Deemed to be  University) (CHENNAI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.1-4-2001"
"SRM Engineering College (a constituent unit of SRM Institute of Science and Technology - a Deemed to be  University) (CHENNAI)","INSTRUMENTATION AND CONTROL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.1-4-2001"
"SRM Engineering College (a constituent unit of SRM Institute of Science and Technology - a Deemed to be  University) (CHENNAI)","CHEMICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.1-4-2001"
"SRM Engineering College (a constituent unit of SRM Institute of Science and Technology - a Deemed to be  University) (CHENNAI)","CIVIL ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F.24-4-2002"
"SRM Engineering College (a constituent unit of SRM Institute of Science and Technology - a Deemed to be  University) (CHENNAI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F.24-4-2002"
"SRM TRP ENGINEERING COLLEGE (Tiruchirappalli)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e., upto 30-06-2024; Further Accredited for Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"SRM TRP ENGINEERING COLLEGE (Tiruchirappalli)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e., upto 30-06-2024; Further Accredited for Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"SRM TRP ENGINEERING COLLEGE (Tiruchirappalli)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e., upto 30-06-2024; Further Accredited for Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"SRM VALLIAMMAI ENGINEERING COLLEGE (Chennai)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"SRM VALLIAMMAI ENGINEERING COLLEGE (Chennai)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic year 2023-24, 2024-25 and 2025-26, i.e. upto 30-06-2026"
"SRM VALLIAMMAI ENGINEERING COLLEGE (Chennai)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Years 2023-24, 2024-25 and 2025-26, i.e., upto 30/06/2026"
"SRM VALLIAMMAI ENGINEERING COLLEGE (Chennai)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic year 2023-24, 2024-25 and 2025-26, i.e. upto 30-06-2026"
"SRM VALLIAMMAI ENGINEERING COLLEGE (Chennai)","Information Technology","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further accredited for 2022-23, 2023-24 and 2024-25. i.e., upto 30/06/2025"
"SRM VALLIAMMAI ENGINEERING COLLEGE (Chennai)","Civil Engineering","Under Graduate","ACCREDITED","Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"SRM VALLIAMMAI ENGINEERING COLLEGE (Chennai)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19 and 2019-20, i.e., upto 30-06-2020; Further Accredited for Academic Year 2020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023"
"SRM VALLIAMMAI ENGINEERING COLLEGE (Chennai)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19 and 2019-20, i.e., upto 30-06-2020; Further Accredited for Academic Year 2020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023"
"SRM VALLIAMMAI ENGINEERING COLLEGE (Chennai)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19 and 2019-20, i.e., upto 30-06-2020; Further Accredited for Academic Year 2020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023"
"SRM VALLIAMMAI ENGINEERING COLLEGE (Chennai)","Electronics & Instrumentation Engineering","Under Graduate","ACCREDITED","Academic Year 2014-15, 2015-16 and 2016-17, i.e., upto 30-06-2017; Further Accredited for Academic Years 2017-18, 2018-19 and 2019-20, i.e., upto 30-06-2020"
"SRM VALLIAMMAI ENGINEERING COLLEGE (Chennai)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2014-15, 2015-16 and 2016-17, i.e., upto 30-06-2017; Further Accredited for Academic Years 2017-18, 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"SSM COLLEGE OF ENGINEERING (KOMARAPALAYAM)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.16-4-2009"
"SSM COLLEGE OF ENGINEERING (KOMARAPALAYAM)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.16-4-2009"
"SSM COLLEGE OF ENGINEERING (KOMARAPALAYAM)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.16-4-2009"
"SSM COLLEGE OF ENGINEERING (KOMARAPALAYAM)","TEXTILE CHEMISTRY","UG","ACCREDITED","3 YEARS W.E.F.16-4-2009"
"SSM COLLEGE OF ENGINEERING (KOMARAPALAYAM)","TEXTILE TECHNOLOGY (TEXTILE CHEMISTRY)","UG","ACCREDITED","2 YEARS W.E.F. 18-09-2013"
"SSM COLLEGE OF ENGINEERING (KOMARAPALAYAM)","MECHANICAL ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 18-09-2013"
"SSM COLLEGE OF ENGINEERING (KOMARAPALAYAM)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 18-09-2013"
"SSM COLLEGE OF ENGINEERING (KOMARAPALAYAM)","TEXTILE TECHNOLOGY","UG","ACCREDITED","2 YEARS W.E.F. 08-11-2013"
"SSM COLLEGE OF ENGINEERING (KOMARAPALAYAM)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 06-08-2014"
"SSM Institute of Engineering and Technology (Dindigul)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"SSM Institute of Engineering and Technology (Dindigul)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"SSM Institute of Engineering and Technology (Dindigul)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","INSTRUMENTATION AND CONTROL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 06-02-2003"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 06-02-2003"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 06-02-2003"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","CHEMICAL ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 06-02-2003"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","INFORMATION TECHNOLOGY","UG","ACCREDITED","5 YEARS W.E.F. 06-02-2003"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 06-02-2003"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 04-05-2007"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","INSTRUMENTATION AND CONTROL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 04-05-2007"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","ELECTRONICS AND INSTRUMENTATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 04-05-2007"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 04-05-2007"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 04-05-2007"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 22-01-2008"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","CHEMICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 22-01-2008"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 22-01-2008"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","BIOTECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 22-01-2008"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","ELECTRONICS AND INSTRUMENTATION ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 28-08-2012"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 28-08-2012"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","INFORMATION TECHNOLOGY","UG","ACCREDITED","2 YEARS W.E.F. 28-08-2012"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","CHEMICAL ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 28-08-2012"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","BIOTECHNOLOGY","UG","ACCREDITED","2 YEARS W.E.F. 28-08-2012"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 05-08-2013"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","INSTRUMENTATION AND CONTROL ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 05-08-2013"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","MECHANICAL ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 05-08-2013"
"ST. JOSEHPS COLLEGE OF ENGINEERING (CHENNAI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 05-08-2013"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Chemical Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Information Technology","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Biotechnology","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24, 2024-25, 2025-26, 2026-27 and 2027-28 i.e., upto 30/06/2028"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further Accredited for Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further Accredited for Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further Accredited for Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Biotechnology","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019; Further accredited from Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Chemical Engineering","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019; Further accredited from Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019; Further accredited from Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Electronics & Instrumentation Engineering","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019; Further accredited from Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Information Technology","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019; Further accredited from Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"ST. JOSEPH'S COLLEGE OF ENGINEERING (Chennai)","Instrumentation and Control Engineering","Under Graduate","ACCREDITED","Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"St. Joseph's Institute of Technology (Kancheepuram)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19 and 2019-20, i.e., upto 30-06-2020"
"St. Joseph's Institute of Technology (Kancheepuram)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19 and 2019-20, i.e., upto 30-06-2020; Further Accredited for Academic Year 2020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023"
"St. Joseph's Institute of Technology (Kancheepuram)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19 and 2019-20, i.e., upto 30-06-2020; Further Accredited for Academic Year 2020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023"
"St. Joseph's Institute of Technology (Kancheepuram)","Information Technology","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19 and 2019-20, i.e., upto 30-06-2020; Further Accredited for Academic Year 2020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023"
"St. Joseph's Institute of Technology (Kancheepuram)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2017-18, 2018-19 and 2019-20, i.e., upto 30-06-2020; Further Accredited for Academic Year 2020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023"
"St. Joseph's Institute of Technology (Kancheepuram)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic year 2023-24,2024-25 and 2025-26 i.e. 30-06-2026"
"St. Joseph's Institute of Technology (Kancheepuram)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic year 2023-24,2024-25 and 2025-26 i.e. 30-06-2026"
"St. Joseph's Institute of Technology (Kancheepuram)","Information Technology","Under Graduate","ACCREDITED","Academic year 2023-24,2024-25 and 2025-26 i.e. 30-06-2026"
"St. Peters Engineering College, Chennai (Chennai)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 Years w.e.f. 29-05-2007"
"St. Peters Engineering College, Chennai (Chennai)","ELECTRONICS AND INSTRUMENTATION ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 12-09-2007"
"St. Peters Engineering College, Chennai (Chennai)","PRODUCTION ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 12-09-2007"
"St. Peters Engineering College, Chennai (Chennai)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 12-09-2007"
"St. Peters Engineering College, Chennai (Chennai)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 12-09-2007"
"St. Peters Engineering College, Chennai (Chennai)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 12-09-2007"
"St. Peters Engineering College, Chennai (Chennai)","CIVIL ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 22-01-2008"
"St. Peters Engineering College, Chennai (Chennai)","BIOTECHNOLOGY","UG","ACCREDITED","3 Years w.e.f. 22-01-2008"
"St. Peters Engineering College, Chennai (Chennai)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 11-06-2004"
"St. Peters Engineering College, Chennai (Chennai)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 11-06-2004"
"St. Peters Engineering College, Chennai (Chennai)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 11-06-2004"
"St. Peters Engineering College, Chennai (Chennai)","ELECTRONICS AND INSTRUMENTATION ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 11-06-2004"
"St. Peters Engineering College, Chennai (Chennai)","PRODUCTION ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 11-06-2004"
"St. Peters Engineering College, Chennai (Chennai)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 27-07-2006"
"St. Peters Engineering College, Chennai (Chennai)","CHEMICAL ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 27-07-2006"
"St.Xavier's Catholic College of Engineering (Kanniyakumari (HQ : Nagercoil))","Civil Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024; Further Accredited for 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
